Nama,Brand,Tipe_Produk,SKU,Harga,Harga_Promo,Diskon,Stok_Qty,Status_Stok,Link_Gambar,Link_Produk
realme C100x,realme,Smartphones,REA-C100X-ER-CON,3399000,3199000,6%,20,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c100x_4g_deepblue_tides_01_2.webp,https://eraspace.com/erafone/realme-c100x
Samsung Galaxy Tab S10 Lite,Samsung,Tablets,SAM-GT10L-ER-CON,6499000,6099000,6%,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_tab_s10_lite_coralred_01.webp,https://eraspace.com/erafone/samsung-galaxy-tab-s10-lite
Huawei Mate X6 12/512GB - Black,Huawei,Smartphones,8100104802,24999000,19999000,20%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei-mate-x6-blck_1a_1.jpg,https://eraspace.com/erafone/huawei-mate-x6-12-512gb-black
HONOR X7d,Honor,Smartphones,HON-X7D-ER-CON,4499000,4499000,,10,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x7d_blk_1.webp,https://eraspace.com/erafone/honor-x7d
vivo X300 Ultra,vivo,Smartphones,VIV-X300U-ER-CON,25999000,25999000,,8,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x300_ultra_black_01.webp,https://eraspace.com/erafone/vivo-x300-ultra
Huawei Mate 80 Pro,Huawei,Smartphones,HUA-M80P-ER-CON,16999000,16999000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/hua_mate8_pro_gld_1_1.webp,https://eraspace.com/erafone/huawei-mate-80-pro
vivo Y31d Pro,vivo,Smartphones,VIV-Y31DP-ER-CON,4299000,4299000,,26,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_1_1.webp,https://eraspace.com/erafone/vivo-y31d-pro
Tecno Spark 50,Tecno,Smartphones,TEC-S50-ER-CON,2199000,2199000,,97,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_spark_50_black_01.webp,https://eraspace.com/erafone/tecno-spark-50
Samsung Galaxy A37 5G,Samsung,Smartphones,SAM-GA37-ER-CON,6599000,6299000,5%,40,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a37_5g_awesome_graygreen_1.webp,https://eraspace.com/erafone/samsung-galaxy-a37-5g
Xiaomi Redmi A7 Pro,Xiaomi,Smartphones,XIA-RA7P-ER-CON,1849000,1849000,,12,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_a7_pro_black_1_1.webp,https://eraspace.com/erafone/xiaomi-redmi-a7-pro
Samsung Galaxy A57 5G,Samsung,Smartphones,SAM-GA57-ER-CON,7599000,7299000,4%,52,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a57_5g_awesome_navy_1_2.webp,https://eraspace.com/erafone/samsung-galaxy-a57-5g
Infinix GT 50 Pro,Infinix,Smartphones,INF-GT50P-ER-CON,6999000,6999000,,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/g/t/gt_50_pro_black_1.webp,https://eraspace.com/erafone/infinix-gt-50-pro
OPPO Reno12 5G 12/256GB - Sunset Pink,OPPO,Smartphones,8100007924,6999000,4999000,29%,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno12_5g_sunset_pink_1.jpg,https://eraspace.com/erafone/oppo-reno12-5g-12-256gb-sunset-pink
"Apple iPad (A16), Wi-Fi, 128GB, Silver",Apple,Tablets,8100033673,7299000,7199000,1%,43,Ready,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_ipad_11_a16_wi-fi_silver_1.jpg,https://eraspace.com/erafone/apple-ipad-a16-wi-fi-128gb-silver
OPPO Reno12 5G 12/512GB - Sunset Pink,OPPO,Smartphones,8100020023,7499000,5499000,27%,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno12_5g_sunset_pink_1_1.jpg,https://eraspace.com/erafone/oppo-reno12-5g-12-512gb-sunset-pink
Infinix XPAD Edge 8/256 - Grey,Infinix,Tablets,8100250255,4599000,4599000,,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_xpad_grey_1.webp,https://eraspace.com/erafone/infinix-xpad-edge-8-256-grey
Samsung Galaxy Tab S10+ Wi-Fi 12/256GB - Moonstone Gray,Samsung,Tablets,8100027170,17999000,13999000,22%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/g/a/galaxy_tab_s10_plus_wi-fi_moonstone_gray_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-tab-s10-plus-wi-fi-12-256gb-moonstone-gray-1
Tecno Megapad 11 8/128GB - Green,Tecno,Tablets,8100072805,2699000,2699000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_megapad_11_green_new01.jpg,https://eraspace.com/erafone/tecno-megapad-11-8-128gb-green
OPPO A6 Pro 5G,OPPO,Smartphones,OP-A6P5G-ER-CON,5299000,5299000,,8,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6_pro_pink_1_1.webp,https://eraspace.com/erafone/oppo-a6-pro-5g
Huawei Mate X6 12/512GB - Nebula Red,Huawei,Smartphones,8100104803,24999000,19999000,20%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_mate_x6_red_new_1.jpg,https://eraspace.com/erafone/huawei-mate-x6-12-512gb-nebula-red
HONOR Pad X9A 8/128GB - Grey + Keyboard,Honor,Tablets,8100222904,4299000,4299000,,133,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_pad_x9a_grey1.jpg,https://eraspace.com/erafone/honor-pad-x9a-8-128gb-grey-keyboard
Infinix Note Edge 5G,Infinix,Smartphones,INF-NE5G-ER-CON,3799000,3799000,,24,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_edge_5g_black_01_1.webp,https://eraspace.com/erafone/infinix-note-edge-5g
Xiaomi Redmi Note 15 Pro 5G,Xiaomi,Smartphones,XIA-RN15P-5G-ER-CON,5099000,5099000,,25,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xia_redmi_note_15_pro_5g_titn_1.webp,https://eraspace.com/erafone/xiaomi-redmi-note-15-pro-5g
Infinix Note 60 5G,Infinix,Smartphones,INF-N60-5G-ER-CON,4699000,4699000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_60_5g_titanium_01.webp,https://eraspace.com/erafone/infinix-note-60-5g
Infinix XPAD 30E 4G,Infinix,Tablets,INF-X30E4G-ER-CON,2499000,2499000,,14,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/inf_xpad_30e_purple_1.webp,https://eraspace.com/erafone/infinix-xpad-30e-4g
realme 12 5G 8/256GB - Woodland Green,realme,Smartphones,8100140191,3299000,3299000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_12_5g_woodland_green_1.jpg,https://eraspace.com/erafone/realme-12-5g-8-256-gb-woodland-green
OPPO Reno13 5G 12/256GB - Luminous Blue,OPPO,Smartphones,8100026260,8999000,8999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_luminous_blue_1_2.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-256gb-luminous-blue
Samsung Galaxy A17 5G,Samsung,Smartphones,SAM-GA17-ER-CON,4499000,4499000,,17,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a17_5g_gray__1.jpg,https://eraspace.com/erafone/samsung-galaxy-a17-5g
Huawei Pura 80 Ultra,Huawei,Smartphones,HUA-P80U-ER-CON,20999000,17999000,14%,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_pura_80_ultra_golden_black_1.webp,https://eraspace.com/erafone/huawei-pura-80-ultra
Samsung Galaxy Tab A11+,Samsung,Tablets,SAM-GTA11P-ER-CON,4499000,4499000,,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/g/a/galaxy_tab_a11_plus_gray_1.webp,https://eraspace.com/erafone/samsung-galaxy-tab-a11-plus
OPPO Reno15 Pro Max,OPPO,Smartphones,OP-R15PM-ER-CON,14499000,14499000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno15_pm_aura_gold_1.webp,https://eraspace.com/erafone/oppo-reno15-pro-max
Infinix Note 60 Pro 5G,Infinix,Smartphones,INF-N60P-5G-ER-CON,5499000,5499000,,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_60_pro_5g_orange_1.webp,https://eraspace.com/erafone/infinix-note-60-pro-5g
vivo X200 12/256GB - Black,vivo,Smartphones,8100107948,12999000,12999000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x200_black_1_1.jpg,https://eraspace.com/erafone/vivo-x200-12-256gb-black-real
OPPO Reno13 5G 12/256GB - Plume White,OPPO,Smartphones,8100026261,8999000,8999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_plume_white_1_1.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-256gb-plume-white
Tecno Megapad 11 8/128GB - Grey,Tecno,Tablets,8100072806,2699000,2699000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_megapad_11_grey_new01.jpg,https://eraspace.com/erafone/tecno-megapad-11-8-128gb-grey
Samsung Galaxy Tab S11,Samsung,Tablets,SAM-GTS11-ER-CON,20999000,20499000,2%,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_tab_s11_wi-fi_gray_1.webp,https://eraspace.com/erafone/samsung-galaxy-tab-s11
Huawei Matepad 12X Laurent,Huawei,Tablets,HUA-M12XL-ER-CON,9299000,8499000,9%,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_matepad_12x_laurent_white_1_1_1.webp,https://eraspace.com/erafone/huawei-matepad-12x-laurent
OPPO Reno15 F,OPPO,Smartphones,OP-R15F-ER-CON,6599000,6599000,,40,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno15_f_aurora_blue_01_1.webp,https://eraspace.com/erafone/oppo-reno15-f
vivo V50 Lite 5G 12/512GB - Gold,vivo,Smartphones,8100136461,5599000,5599000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_lite_5g_all_gold_1_1.jpg,https://eraspace.com/erafone/vivo-v50-lite-5g-12-512gb-gold
vivo X Fold5,vivo,Smartphones,VIV-XF5-ER-CON,24999000,24999000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x_fold5_gray_01_1.jpg,https://eraspace.com/erafone/vivo-x-fold5
Huawei Pura 80,Huawei,Smartphones,HUA-P80-ER-CON,9999000,9999000,,5,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_pura_80_frosted_black_1.webp,https://eraspace.com/erafone/huawei-pura-80
Samsung Galaxy A07 5G,Samsung,Smartphones,SAM-GA07-5G-ER-CON,3199000,3199000,,10,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a07_5g_black_01.webp,https://eraspace.com/erafone/samsung-galaxy-a07-5g
OPPO Reno13 5G 12/512GB - Luminous Blue,OPPO,Smartphones,8100026262,9999000,7999000,20%,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_luminous_blue_1_1_1.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-512gb-luminous-blue
vivo V50 Lite 4G 8/256GB - Gold,vivo,Smartphones,8100136457,3799000,3799000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_lite_4g_all_gold_1_1.jpg,https://eraspace.com/erafone/vivo-v50-lite-4g-8-256gb-gold
Samsung Galaxy S25,Samsung,Smartphones,SAM-GS25-ER-CON,13999000,12999000,7%,9,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_s25_navy_1_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-s25
Huawei Matepad Pro 12.2 2025 12/512GB - Green,Huawei,Tablets,8100044098,12999000,12999000,,5,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_matepad_pro_122_2025_green01.jpg,https://eraspace.com/erafone/huawei-matepad-pro-12-2-2025-12-512gb-green
Huawei MatePad 11.5 2025,Huawei,Tablets,HUA-M11525-ER-CON,5999000,5999000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_matepad_11.5_2025_violet_01.jpg,https://eraspace.com/erafone/huawei-matepad-115-2025
Xiaomi Redmi 15C,Xiaomi,Smartphones,XIA-R15C-ER-CON,2349000,2349000,,22,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_15c_twilight_orange_01.jpg,https://eraspace.com/erafone/xiaomi-redmi-15c
Huawei Pura 80 Pro,Huawei,Smartphones,HUA-P80P-ER-CON,13499000,13499000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_pura_80_pro_glazed_black_1.webp,https://eraspace.com/erafone/huawei-pura-80-pro
Samsung Galaxy A17,Samsung,Smartphones,SAM-GA17-4G-ER-CON,3499000,3499000,,42,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a17_lte_black_1.webp,https://eraspace.com/erafone/samsung-galaxy-a17
Samsung Galaxy S25 FE,Samsung,Smartphones,SAM-GS25FE-ER-CON,11999000,10499000,13%,18,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_s25fe_navy_1.webp,https://eraspace.com/erafone/samsung-galaxy-s25-fe
Xiaomi 15T Pro,Xiaomi,Smartphones,XIA-15TP-ER-CON,10499000,10499000,,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_15t_pro_gray_01_1_1.webp,https://eraspace.com/erafone/xiaomi-15t-pro
realme 15 5G,realme,Smartphones,REA-155G-ER-CON,4999000,4999000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_15_5g_suit_titanium_01.webp,https://eraspace.com/erafone/realme-15-5g
Apple iPhone Air,Apple,Smartphones,HAP-IP-A-ER-CON,21249000,16999000,20%,14,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/p/iphone-air-sky-blue-1000_1_2.webp,https://eraspace.com/erafone/apple-iphone-air
Samsung Galaxy Tab A11,Samsung,Tablets,SAM-GTA11-ER-CON,2699000,2699000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_tab_a11_gray_01.webp,https://eraspace.com/erafone/samsung-galaxy-tab-a11
vivo Y21d,vivo,Smartphones,VIV-Y21D-ER-CON,2399000,2399000,,30,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y21d_black_01.webp,https://eraspace.com/erafone/vivo-y21d
OPPO Find X9 Pro,OPPO,Smartphones,OP-FX9P-ER-CON,20999000,20999000,,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo-find-x9-pro-titanium-charcoal-1b.webp,https://eraspace.com/erafone/oppo-find-x9-pro
OPPO Find X9,OPPO,Smartphones,OP-FX9-ER-CON,15999000,15999000,,20,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_grey_1.webp,https://eraspace.com/erafone/oppo-find-x9
vivo X300 Pro,vivo,Smartphones,VIV-X300P-ER-CON,18999000,18999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x300_pro_black_1.webp,https://eraspace.com/erafone/vivo-x300-pro
Apple iPad Pro M5 (2025),Apple,Tablets,IPD-PRO-M5-ER-CON,20499000,19999000,2%,13,Ready,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_ipad_pro_11_inci_m5_wi-fi_space_black_1_1.webp,https://eraspace.com/erafone/apple-ipad-pro-m5
Tecno Spark Go 3,Tecno,Smartphones,TEC-SG3-ER-CON,1699000,1699000,,27,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_spark_go_3_black_01.webp,https://eraspace.com/erafone/tecno-spark-go-3
Xiaomi Redmi Note 15 Pro+ 5G,Xiaomi,Smartphones,XIA-RN15PP-5G-ER-CON,6399000,6399000,,14,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xia_red_15_pro_plus_5g_blk_1_1.webp,https://eraspace.com/erafone/xiaomi-redmi-note-15-pro-plus-5g
realme 12 5G 8/256GB - Twilight Purple,realme,Smartphones,8100140190,3299000,3299000,,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_12_5g_twilight_purple_1.jpg,https://eraspace.com/erafone/realme-12-5g-8-256-gb-twilight-purple
Samsung Galaxy S25 Edge,Samsung,Smartphones,SAM-GS25E-ER-CON,17499000,14999000,14%,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_s25_edge_titanium_silver_ai_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-s25-edge
Samsung Galaxy A26 5G,Samsung,Smartphones,SAM-GA26-ER-CON,4999000,4999000,,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a26_5g_black_01.jpg,https://eraspace.com/erafone/samsung-galaxy-a26-5g
Samsung Galaxy A36 5G,Samsung,Smartphones,SAM-GA36-ER-CON,6299000,4999000,21%,31,Ready,https://cdnpro.eraspace.com/media/catalog/product/g/a/galaxy_a36_5g_awesome_lavender_1_2.jpg,https://eraspace.com/erafone/samsung-galaxy-a36-5g
HONOR 400 Lite 5G,Honor,Smartphones,HON-400L-ER-CON,3999000,3999000,,8,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_400_lite_5g_velvet_grey_1_1.jpg,https://eraspace.com/erafone/honor-400-lite-5g
TECNO POVA 7 5G,Tecno,Smartphones,TEC-PV7-5G-ER-CON,3299000,3299000,,18,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_7_5g_black_1.jpg,https://eraspace.com/erafone/tecno-pova-7-5g
Samsung Galaxy Z Flip7,Samsung,Smartphones,SAM-FL7-ER-CON,17999000,14499000,19%,8,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_z_flip7_blue_shadow_ai_01_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-z-flip7
realme 15 Pro 5G,realme,Smartphones,REA-15P5G-ER-CON,6999000,6999000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_15_pro_5g_slvr_1.webp,https://eraspace.com/erafone/realme-15-pro-5g
vivo V60 Lite 4G,vivo,Smartphones,VIV-V60L4G-ER-CON,5299000,5299000,,14,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v60_lite_blue_1a_1.webp,https://eraspace.com/erafone/vivo-v60-lite-4g
vivo V60 Lite 5G,vivo,Smartphones,VIV-V60L5G-ER-CON,5999000,5999000,,21,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v60_lite_pink_1_1.webp,https://eraspace.com/erafone/vivo-v60-lite-5g
OPPO A6 Pro 4G,OPPO,Smartphones,OP-A6P4G-ER-CON,4599000,4599000,,54,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6_pro_4g_colar_pink_01_2.webp,https://eraspace.com/erafone/oppo-a6-pro-4g
vivo X300,vivo,Smartphones,VIV-X300-ER-CON,14999000,14999000,,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x300_pink_1.webp,https://eraspace.com/erafone/vivo-x300
HONOR Magic V3,Honor,Smartphones,HON-MV3-ER-CON,24999000,24999000,,5,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_magic_v3_green_1_1.jpg,https://eraspace.com/erafone/honor-magic-v3
Samsung Galaxy Z Fold7,Samsung,Smartphones,SAM-FO7-ER-CON,28499000,26999000,5%,22,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_z_fold7_blue_shadow_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-z-fold7
Samsung Galaxy A07,Samsung,Smartphones,SAM-GA07-ER-CON,1799000,1799000,,58,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_a07_light_violet_01.jpg,https://eraspace.com/erafone/samsung-galaxy-a07
vivo V60 5G,vivo,Smartphones,VIV-V60-5G-ER-CON,6999000,6999000,,11,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v60_5g_purple_1.jpg,https://eraspace.com/erafone/vivo-v60-5g
Infinix Hot 60 Pro+,Infinix,Smartphones,INF-H60PP-ER-CON,3499000,3499000,,12,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_hot_60_plus_black_1.jpg,https://eraspace.com/erafone/infinix-hot-60-pro-plus
Samsung Galaxy S25 Ultra,Samsung,Smartphones,SAM-GS25U-ER-CON,20999000,18999000,10%,11,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_s25_ultra_titanium_silverblue_1_2_1.jpg,https://eraspace.com/erafone/samsung-galaxy-s25-ultra
OPPO Reno14 F,OPPO,Smartphones,OP-R14F-ER-CON,5599000,5599000,,21,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno14_f_5g_pink_1_2.jpg,https://eraspace.com/erafone/oppo-reno14-f
vivo Y400 4G,vivo,Smartphones,VIV-Y400-4G-ER-CON,3499000,3499000,,28,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y400_4g_green_01_2.jpg,https://eraspace.com/erafone/vivo-y400-4g
Tecno Camon 50,Tecno,Smartphones,TEC-CAM-50-ER-CON,3999000,3999000,,56,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_camon_50_black_01.webp,https://eraspace.com/erafone/tecno-camon-50
Xiaomi Pad 8,Xiaomi,Tablets,XIA-P8-ER-CON,7499000,7299000,3%,12,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_pad_8_blue_01_1.webp,https://eraspace.com/erafone/xiaomi-pad-8
Xiaomi Pad 8 Pro,Xiaomi,Tablets,XIA-P8P-ER-CON,9499000,9299000,2%,14,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_pad_8_pro_green_01_2.webp,https://eraspace.com/erafone/xiaomi-pad-8-pro
